""	peer1	peer2	peer3	peer4	peer5	peer6	peer7	peer8	peer9	peer10	peer11	peer12	peer13	peer14	peer15	peer16	peer17	peer18	peer19	peer20	peer21	peer22
Fam20_Clone6_Pass19	1	0.293175786733627	-0.126985237002373	-0.949291348457336	1.38530552387238	0.910022497177124	-0.457201182842255	0.303038537502289	1.85865533351898	1.38490545749664	0.279055923223496	0.386908233165741	0.625552356243134	0.69260311126709	-0.097146213054657	-0.122005634009838	-0.243936330080032	0.0416798070073128	0.400884389877319	-0.669723272323608	0.420702874660492	-0.0362533926963806
Fam4_Clone4_Pass20	1	0.0966125875711441	-0.203269019722939	-0.586626648902893	2.15183234214783	-0.71789163351059	-0.47941517829895	0.453804165124893	1.01543545722961	-0.962738811969757	-0.944236695766449	0.320641666650772	-1.40355682373047	-0.537577986717224	1.26538050174713	-0.397992640733719	-0.897906601428986	-0.560038149356842	1.50687193870544	0.323841601610184	0.0755139067769051	-0.334851533174515
Fam6_Clone1_Pass20	1	0.393847525119782	0.0276765767484903	0.745264887809753	-1.35333073139191	-0.0585210658609867	-0.325729072093964	0.30852609872818	-0.824593544006348	0.270518034696579	0.907638788223267	0.293162286281586	0.483893990516663	0.654690861701965	-0.168717697262764	0.00825394876301289	-0.349722862243652	-0.271088987588882	0.233239516615868	0.481392085552216	-0.392843306064606	0.288944184780121
Fam88_Clone5_Pass25	1	0.239504292607307	-0.128941968083382	-0.443457782268524	-0.116486899554729	2.01639461517334	-0.313411980867386	0.393706351518631	-1.50079488754272	0.621446549892426	-0.554792165756226	1.21249508857727	0.209069237112999	1.10910069942474	-0.764244377613068	0.00323583651334047	-0.639627754688263	0.126288175582886	0.530866324901581	-0.0515661686658859	-0.802258610725403	-0.852095484733582
Fam3_Clone9_Pass23	1	0.392405450344086	0.0414236038923264	-0.021101163700223	-0.411871552467346	0.556337654590607	-0.830920577049255	0.676445424556732	0.673666119575501	0.0944615602493286	0.176780998706818	0.879989326000214	0.789609014987946	1.0658198595047	-0.500712752342224	1.23558700084686	-0.678767919540405	-0.165622919797897	0.0257810559123755	-1.11080658435822	0.396802842617035	0.400604218244553
Fam111_Clone7_Pass24	1	-0.154100030660629	-0.150546550750732	-0.0459966063499451	0.76028698682785	0.612126410007477	0.51278293132782	0.744692742824554	0.197094440460205	-1.02049565315247	0.447705090045929	-1.20667839050293	-0.167414158582687	0.249486282467842	0.217275783419609	-0.489252775907517	-2.06426978111267	-1.2114804983139	0.964091718196869	1.13873255252838	0.159808367490768	0.0575780980288982
Fam12_Clone1_Pass19	1	-0.062586672604084	0.111670985817909	-0.559950709342957	1.36288809776306	-1.20276129245758	0.596787035465241	1.42865920066834	0.698365330696106	0.152801290154457	-0.0683424323797226	0.248685032129288	0.31276199221611	0.602874636650085	-0.0946760773658752	0.532508969306946	0.489035457372665	-0.333621740341187	0.953330338001251	0.127092614769936	-0.161317735910416	0.0565069653093815
Fam22_Clone1_Pass25	1	-0.158408954739571	-0.300997942686081	-0.733571290969849	-0.0411518849432468	0.410817444324493	-1.70310819149017	-0.142634332180023	1.05662858486176	-2.31140470504761	0.313842087984085	-0.645040571689606	-0.0109556084498763	-1.38516199588776	-1.13822364807129	-0.071216493844986	-1.21842908859253	0.69212818145752	-1.31070613861084	-0.16335654258728	2.0694727897644	-0.00401044543832541
Fam9_Clone3_Pass19	1	-0.241552665829659	0.431336969137192	0.0988687798380852	-1.18926072120667	0.958381414413452	0.283398866653442	0.382373660802841	0.0386729836463928	1.22044944763184	-0.189079746603966	-0.846850514411926	-1.13416850566864	-0.234536603093147	-1.0638153553009	0.370637834072113	-1.14064121246338	1.64800155162811	-0.123975783586502	0.24259814620018	0.00334962015040219	-0.0322862379252911
Fam87_Clone6_Pass23	1	0.00768580287694931	0.177369445562363	-0.336869984865189	0.506496608257294	-0.955184996128082	-1.98510730266571	0.287206053733826	-1.38080108165741	0.107589714229107	-0.0730565562844276	1.84358024597168	-2.25110530853271	0.137916162610054	2.14517784118652	1.4710214138031	-0.0497128553688526	0.112707123160362	-0.749145448207855	0.795122027397156	-0.89501029253006	-0.430297017097473
