""	peer1	peer2	peer3	peer4	peer5	peer6	peer7	peer8	peer9	peer10	peer11	peer12	peer13	peer14	peer15	peer16	peer17	peer18	peer19	peer20
X6508be64.9bff.49a0.8eac.50b4fbd841ef	1	-0.0172094106674194	0.0387341678142548	-0.00186680490151048	-0.00139300944283605	-0.00445942115038633	0.0033130943775177	0.138432994484901	-0.0288237947970629	0.0733261629939079	-0.639823138713837	-0.400529891252518	-0.248333364725113	0.960706532001495	1.87373304367065	-0.789986312389374	0.285618662834168	0.42704051733017	0.499012917280197	-1.66335046291351
f5aace19.014c.4905.94dd.71b19e4afc5d	1	-0.0173917282372713	-0.0153632741421461	-0.00363017851486802	-0.00079791370080784	0.000980035634711385	-0.00263608247041702	1.45925462245941	-0.467453747987747	-1.20717978477478	0.849978089332581	0.129858583211899	-0.344324916601181	0.0242148190736771	1.2556072473526	-0.0214341338723898	-1.01789772510529	0.154647767543793	1.08421277999878	-0.182376399636269
X70ef1070.accd.4103.849f.a97a58ed13d1	1	-0.0126505559310317	0.0192734412848949	-0.00520834233611822	-0.00285523012280464	-0.00282090553082526	-0.00551777612417936	0.43293309211731	-2.54617118835449	-1.56200206279755	1.31355428695679	-1.63143122196198	0.0492312908172607	-0.0719040483236313	3.79414296150208	-2.70071315765381	-0.765832781791687	-1.36367654800415	-1.09817707538605	0.731699943542481
f76deed6.4e6c.42fb.a619.5c25e85515b4	1	-0.017578911036253	0.0185281541198492	0.000342495302902535	0.00303185917437077	-0.00227019540034235	0.0184344537556171	-1.63592767715454	4.10309362411499	-1.34312963485718	1.80944550037384	4.95141506195068	-1.96318936347961	-0.139497235417366	2.45735692977905	-0.403542786836624	1.47002625465393	-4.18975019454956	2.40919423103333	0.425342231988907
X7d467678.577d.4a5e.8410.57754758b549	1	-0.0117226522415876	0.048491545021534	-0.00130528386216611	0.00381707726046443	9.29013403947465e-05	-0.00231247767806053	0.385599136352539	0.594431459903717	-0.583702743053436	0.645189046859741	0.343662232160568	0.116999737918377	-0.191051542758942	0.0279145892709494	0.420513212680817	-0.840368628501892	-0.376270294189453	-1.18584322929382	-0.479755848646164
X8b2d8719.6f91.430e.8ce5.e11fe3d8bf62	1	-0.0137935252860188	-0.0471899621188641	0.000995454960502684	-0.00149551825597882	-0.00161782384384424	-0.00405539246276021	0.224565044045448	0.366455942392349	0.266388386487961	-1.22319889068604	0.0713175088167191	-0.650121331214905	0.0484709441661835	1.50580632686615	0.928042411804199	-0.281804144382477	0.688599944114685	1.24333834648132	-1.5519335269928
X1098d14d.b2e2.4785.9193.b3ae36989fec	1	-0.0117556285113096	0.0315125249326229	0.000815183913800865	0.000474102067528293	-0.00243485299870372	0.00347637594677508	-0.271175146102905	-0.26836171746254	0.106476135551929	-0.380852967500687	-0.241921812295914	0.564229488372803	0.752092123031616	1.30186748504639	0.280252665281296	-0.051373403519392	0.0172398779541254	-0.437953948974609	-0.347089976072311
X04a98b40.89dc.4b75.9294.722bef4d5adb	1	-0.0171338301151991	0.0421852692961693	-0.000803265604190528	-0.00536810513585806	-0.00563109898939729	0.00613864278420806	0.162838578224182	0.261693954467773	-0.722363770008087	1.05648124217987	-1.15088963508606	-0.607704520225525	-0.391597867012024	-0.749469935894013	0.346735835075378	0.5985147356987	-0.47285208106041	-0.73620879650116	-0.333059936761856
X6fee5aa5.2a1b.4521.b479.5c355a9cae7a	1	-0.0170064847916365	0.0941835343837738	0.00332155358046293	0.00147560087498277	0.00164805399253964	0.019921138882637	-0.151038154959679	-0.808692574501038	0.167851224541664	-0.60799914598465	-0.167198359966278	-0.279786169528961	0.459721237421036	0.839716970920563	0.139575481414795	0.32892319560051	0.958672523498535	-0.219896599650383	-0.480102151632309
X80c56dc1.f92b.40a3.8ee2.7421d2c890d2	1	-0.0180816594511271	-0.227497085928917	0.000996338785625994	-0.00203095888718963	-0.00408463180065155	-0.0109893102198839	1.4937983751297	1.37474656105042	-0.285661220550537	-1.76980757713318	0.217984154820442	0.483386635780335	0.576966047286987	1.05806505680084	-0.888750672340393	1.24303460121155	-0.405855894088745	1.26713395118713	0.523208916187286
X62d47f1e.1093.4672.87cf.9e8955e16311	1	-0.0118349278345704	0.0255506858229637	-0.000489916943479329	0.00285661802627146	-0.0015326882712543	0.00184745411388576	-0.199311196804047	-0.112525343894959	0.0667120292782784	-0.687272489070892	-0.204646870493889	0.0494868345558643	-0.156589597463608	0.628151476383209	-0.197393283247948	0.398468762636185	0.14805394411087	-0.516364276409149	-0.0128547577187419
ab7db91b.b7e4.4276.93d6.6d1a8948dd73	1	-0.0132739264518023	0.00791897252202034	-0.001123137306422	0.00451444275677204	-0.00433947518467903	0.00119241350330412	0.0408825911581516	-0.351828038692474	0.329258918762207	0.020793542265892	0.538847148418427	0.789478063583374	0.319534629583359	0.625721096992493	0.785101711750031	-0.421182513237	0.42872080206871	-0.254046618938446	-0.0679123550653458
ad02c667.7bb1.4453.ad14.f3294780b4c6	1	-0.0170058384537697	0.117591150105	0.00267933309078217	0.00461436389014125	0.00210797064937651	0.018490107730031	-0.00199677422642708	-0.504153192043304	-0.0481569357216358	0.180642411112785	-0.328908264636993	0.778832316398621	0.890734910964966	3.12912273406982	-1.29151451587677	-0.485145747661591	0.529041469097138	0.224650576710701	-2.52187943458557
